Item.Num,zerofat,lowfat,highfat,organic,all.natural,probiotic,fiber,fob,SBS.cup,NCIT.cup,Flavor1,Brand,Class
439588,0,1,0,0,0,0,0,0,0,0,strawberry,DANNON,NA
439717,0,1,0,0,0,0,0,0,0,0,punch,DANNON,NA
439909,0,0,1,0,0,0,0,0,0,0,mint,WHITECOW,REGULAR
439910,0,0,1,0,0,0,0,0,0,0,lemon,WHITECOW,REGULAR
439911,0,0,1,0,0,0,0,0,0,0,vanilla,WHITECOW,REGULAR
439912,0,0,1,0,0,0,0,0,0,0,gingerberry,WHITECOW,REGULAR
439913,0,0,1,0,0,0,0,0,0,0,chocolate,WHITECOW,REGULAR
439914,0,0,1,0,0,0,0,0,0,0,lime,WHITECOW,REGULAR
439915,0,0,1,0,0,0,0,0,0,0,butternut,WHITECOW,REGULAR
439916,0,0,1,0,0,0,0,0,0,0,applepie,WHITECOW,REGULAR
439917,0,0,1,0,0,0,0,0,0,0,pumpkin,WHITECOW,REGULAR
439918,0,0,1,0,0,0,0,0,0,0,orange,WHITECOW,REGULAR
439922,0,0,1,0,0,0,0,0,0,0,peach,WHITECOW,REGULAR
439926,0,0,1,0,0,0,0,0,0,0,orange,WHITECOW,NA
439931,0,0,1,0,0,0,0,0,0,0,turmeric,WHITECOW,NA
439934,0,0,1,0,0,0,0,0,0,0,gingerberry,WHITECOW,REGULAR
439935,0,0,1,0,0,0,0,0,0,0,chuggberry,WHITECOW,NA
439942,0,0,1,0,0,0,0,0,0,0,lime,WHITECOW,NA
439952,0,1,0,0,0,1,0,0,0,1,vanilla,DANACTIVIA,REGULAR
439953,0,1,0,0,0,1,0,0,0,1,strawberry,DANACTIVIA,REGULAR
440327,1,0,0,0,0,0,0,1,0,0,strawberry,SIGGI,REGULAR
440329,1,0,0,0,0,0,0,1,0,0,peach,SIGGI,REGULAR
440700,1,0,0,0,1,0,0,0,1,0,blueberry,FAGE,GREEK
440706,1,0,0,0,1,0,0,0,1,0,chpom,FAGE,GREEK
440709,1,0,0,0,1,0,0,0,1,0,honey,FAGE,GREEK
440711,1,0,0,0,1,0,0,0,1,0,mango,FAGE,GREEK
440714,1,0,0,0,1,0,0,0,1,0,strawberry,FAGE,GREEK
443650,1,0,0,0,1,1,0,0,0,0,vanilla,LIFEWAY,NA
443654,1,0,0,0,1,1,0,0,0,0,blackberry,LIFEWAY,NA
443656,1,0,0,0,1,1,0,0,0,0,pomblbry,LIFEWAY,NA
443708,0,1,0,1,0,0,0,0,0,0,strawberry/blueberry,HORIZON,NA
443713,0,1,0,1,0,0,0,0,0,0,apple/strawlemon,HORIZON,NA
443763,0,1,0,0,1,0,0,1,0,0,mango,CHOBANI,GREEK
445502,0,0,1,0,0,0,0,0,0,0,blueberry,AMANDE,NA
445505,0,0,1,0,0,0,0,0,0,0,cherry,AMANDE,NA
445506,0,0,1,0,0,0,0,0,0,0,coconut,AMANDE,NA
445508,0,0,1,0,0,0,0,0,0,0,peach,AMANDE,NA
445509,0,0,1,0,0,0,0,0,0,0,raspberry,AMANDE,NA
445511,0,0,1,0,0,0,0,0,0,0,strawberry,AMANDE,NA
445858,0,0,1,0,0,0,0,0,0,0,plain,AMANDE,NA
445860,0,0,1,0,0,0,0,0,0,0,vanilla,AMANDE,NA
447243,1,0,0,0,1,0,0,0,0,0,vanilla,CHOBANI,NA
447859,0,1,0,0,1,1,0,0,0,0,birthck,LIFEWAY,NA
448607,1,0,0,0,0,0,0,0,1,0,honey,YOGREEK,REGULAR
448609,1,0,0,0,0,0,0,0,1,0,blueberry,YOGREEK,REGULAR
448611,1,0,0,0,0,0,0,0,1,0,strawberry,YOGREEK,REGULAR
449291,0,1,0,0,0,0,0,0,0,0,chocolate,YO,REGULAR
450488,0,0,1,0,1,0,0,0,0,0,plain,OLDCHATHAM,NA
450926,1,0,0,0,0,0,0,0,0,0,cocpnple,DANNON,REGULAR
451427,0,1,0,0,0,0,0,0,0,0,strawberry/banana,DANNON,NA
451768,1,0,0,0,0,0,0,0,0,1,strawberry,YO,REGULAR
451769,1,0,0,0,0,0,0,0,0,0,blueberry,YO,REGULAR
451770,1,0,0,0,0,0,0,0,0,1,peach,YO,REGULAR
451771,1,0,0,0,0,0,1,0,0,0,blueberry,YO,REGULAR
451772,0,1,0,0,0,0,0,0,0,0,punch,YO,NA
451789,0,1,0,0,0,0,0,0,0,0,vanilla,YO,NA
453310,1,0,0,0,0,0,0,0,0,0,strawberry,LACTAID,NA
453313,1,0,0,0,0,0,0,0,0,0,blueberry,LACTAID,NA
453829,1,0,0,0,0,0,0,0,0,0,vanilla,LACTAID,NA
453831,1,0,0,0,0,0,0,0,0,0,peach,LACTAID,NA
454720,0,1,0,0,0,0,0,0,0,1,mnmvanilla,YOCRUNCH,REGULAR
454740,0,1,0,0,0,0,0,0,0,1,cookiecrm,YOCRUNCH,REGULAR
455131,1,0,0,0,0,0,0,0,0,0,chryvan,YO,REGULAR
455248,1,0,0,0,0,0,0,0,0,0,vanilla,YO,REGULAR
455329,1,0,0,0,0,0,0,0,0,0,strawberry,YO,REGULAR
455331,1,0,0,0,0,0,0,0,0,0,blueberry,YO,REGULAR
455336,0,1,0,0,0,1,0,0,0,0,blkbryrasp,DANACTIVIA,REGULAR
455337,0,1,0,0,0,1,0,0,0,0,cherry,DANACTIVIA,REGULAR
455338,0,1,0,0,0,1,0,0,0,0,mango,DANACTIVIA,REGULAR
457051,0,1,0,0,0,1,0,0,0,0,strawban/peach,DANACTIVIA,REGULAR
457590,0,1,0,0,0,1,0,0,0,0,"black cherry",WEIGHTWATCHERS,REGULAR
457591,0,1,0,0,0,1,0,0,0,0,caramel,WEIGHTWATCHERS,REGULAR
458638,0,0,1,0,0,0,0,0,0,0,keylime,DANNON,GREEK
459027,0,0,1,1,0,1,0,0,0,0,mixedberry,LIFEWAY,NA
459035,0,1,0,1,0,1,0,0,0,0,plain,LIFEWAY,NA
459901,1,0,0,1,0,0,0,0,0,0,plain,OIKOS,NA
