Household.Num,Income,FamilySize,NumAdults,RandData,IncomeBin,FSBin,AdultBin
5348545,45000,3,3,1,25-50,3,3-4
5349545,62500,5,5,1,50-75,4-5,5-6
5349646,112500,2,2,1,100-150,2,2
5350848,87500,5,3,1,75-100,4-5,3-4
5351848,62500,3,2,1,50-75,3,2
5353747,62500,3,2,1,50-75,3,2
5357141,45000,4,3,1,25-50,4-5,3-4
5359444,112500,3,1,1,100-150,3,1
5359545,87500,3,2,1,75-100,3,2
5359646,62500,4,4,1,50-75,4-5,3-4
5361141,62500,2,2,1,50-75,2,2
5363343,62500,2,2,1,50-75,2,2
5364747,62500,1,1,1,50-75,1,1
5366444,87500,2,2,1,75-100,2,2
5367646,62500,4,4,1,50-75,4-5,3-4
5368747,35000,3,3,1,25-50,3,3-4
5369242,35000,4,3,1,25-50,4-5,3-4
5370848,45000,6,6,1,25-50,>=6,5-6
5371141,45000,2,2,1,25-50,2,2
5372848,62500,3,2,1,50-75,3,2
5373343,112500,4,3,1,100-150,4-5,3-4
5375141,62500,1,1,1,50-75,1,1
5377545,62500,5,4,1,50-75,4-5,3-4
5379242,35000,3,1,1,25-50,3,1
5379747,87500,5,5,1,75-100,4-5,5-6
5381747,150000,3,2,1,>150,3,2
5382646,150000,6,2,1,>150,>=6,2
5383343,25000,2,2,1,25-50,2,2
5384646,112500,4,2,1,100-150,4-5,2
5386848,112500,4,4,1,100-150,4-5,3-4
5387242,35000,1,1,1,25-50,1,1
5389747,45000,3,3,1,25-50,3,3-4
5391545,62500,1,1,1,50-75,1,1
5391747,45000,1,1,1,25-50,1,1
5392545,35000,5,3,1,25-50,4-5,3-4
5394646,87500,5,3,1,75-100,4-5,3-4
5396242,10000,2,2,1,<25,2,2
5397444,62500,1,1,1,50-75,1,1
5403848,25000,2,2,1,25-50,2,2
5404646,150000,2,1,1,>150,2,1
5405141,25000,2,2,1,25-50,2,2
5410141,112500,3,3,1,100-150,3,3-4
5410747,25000,2,2,1,25-50,2,2
5411242,62500,2,2,1,50-75,2,2
5412141,45000,2,2,1,25-50,2,2
5413646,62500,4,2,1,50-75,4-5,2
5416242,87500,2,1,1,75-100,2,1
5416747,62500,2,2,1,50-75,2,2
5423444,150000,4,4,1,>150,4-5,3-4
5423646,35000,6,3,1,25-50,>=6,3-4
5424646,62500,2,2,1,50-75,2,2
5425545,87500,7,5,1,75-100,>=6,5-6
5425646,87500,3,3,1,75-100,3,3-4
5428343,87500,1,1,1,75-100,1,1
5431141,87500,6,2,1,75-100,>=6,2
5434545,62500,5,4,1,50-75,4-5,3-4
5438848,62500,6,4,1,50-75,>=6,3-4
5443242,62500,2,2,1,50-75,2,2
5444343,17500,3,2,1,<25,3,2
5444545,45000,6,6,1,25-50,>=6,5-6
5447197,62500,3,2,0,50-75,3,2
5450545,87500,3,2,1,75-100,3,2
5452425,62500,3,3,0,50-75,3,3-4
5455747,112500,4,2,1,100-150,4-5,2
5458141,62500,4,4,1,50-75,4-5,3-4
5459848,62500,2,2,1,50-75,2,2
5460444,87500,4,4,1,75-100,4-5,3-4
5461747,62500,1,1,1,50-75,1,1
5463566,112500,2,2,0,100-150,2,2
5464848,112500,4,3,1,100-150,4-5,3-4
5466545,45000,2,2,1,25-50,2,2
5467343,87500,4,3,1,75-100,4-5,3-4
5467444,150000,3,2,1,>150,3,2
5468545,87500,4,2,1,75-100,4-5,2
5472646,62500,3,3,1,50-75,3,3-4
5474747,87500,3,2,1,75-100,3,2
5475343,25000,1,1,1,25-50,1,1
5477343,62500,3,3,1,50-75,3,3-4
5477747,17500,1,1,1,<25,1,1
5481141,45000,3,3,1,25-50,3,3-4
5485242,45000,2,2,1,25-50,2,2
5487242,87500,5,2,1,75-100,4-5,2
5487646,87500,3,3,1,75-100,3,3-4
5489141,35000,2,2,1,25-50,2,2
5490646,62500,1,1,1,50-75,1,1
5491444,35000,2,2,1,25-50,2,2
5494444,10000,2,2,1,<25,2,2
5497545,87500,4,3,1,75-100,4-5,3-4
5498646,175000,5,2,1,>150,4-5,2
5498848,150000,2,2,1,>150,2,2
5500226,150000,3,2,0,>150,3,2
5502242,25000,3,3,1,25-50,3,3-4
5502848,112500,6,5,1,100-150,>=6,5-6
5506646,45000,1,1,1,25-50,1,1
5508848,87500,1,1,1,75-100,1,1
5509343,62500,5,5,1,50-75,4-5,5-6
5510545,35000,1,1,1,25-50,1,1
5510848,45000,1,1,1,25-50,1,1
5511646,45000,1,1,1,25-50,1,1
5511747,112500,4,4,1,100-150,4-5,3-4
5512444,62500,4,4,1,50-75,4-5,3-4
5513141,25000,1,1,1,25-50,1,1
5513343,35000,3,3,1,25-50,3,3-4
5514343,45000,6,5,1,25-50,>=6,5-6
5514444,25000,2,2,1,25-50,2,2
5515177,45000,4,2,0,25-50,4-5,2
5516747,17500,2,2,1,<25,2,2
5518242,17500,5,5,1,<25,4-5,5-6
5520343,17500,2,2,1,<25,2,2
5520848,87500,4,4,1,75-100,4-5,3-4
5522242,87500,2,2,1,75-100,2,2
5523343,62500,3,2,1,50-75,3,2
5524545,35000,3,3,1,25-50,3,3-4
5524848,87500,5,2,1,75-100,4-5,2
5525343,112500,4,2,1,100-150,4-5,2
5527444,87500,2,2,1,75-100,2,2
5528141,62500,5,5,1,50-75,4-5,5-6
5531444,45000,4,3,1,25-50,4-5,3-4
5532848,150000,3,3,1,>150,3,3-4
5534747,150000,3,3,1,>150,3,3-4
5535646,10000,3,2,1,<25,3,2
5537444,35000,2,1,1,25-50,2,1
5540343,87500,2,2,1,75-100,2,2
5545343,112500,4,4,1,100-150,4-5,3-4
5547545,150000,2,2,1,>150,2,2
5548242,62500,5,5,1,50-75,4-5,5-6
5548646,10000,2,2,1,<25,2,2
5549444,62500,4,2,1,50-75,4-5,2
5553646,87500,3,2,1,75-100,3,2
5556545,112500,5,5,1,100-150,4-5,5-6
5557646,62500,5,3,1,50-75,4-5,3-4
5558646,62500,1,1,1,50-75,1,1
5559141,87500,4,2,1,75-100,4-5,2
5561848,87500,6,6,1,75-100,>=6,5-6
5565848,87500,5,3,1,75-100,4-5,3-4
5566141,62500,1,1,1,50-75,1,1
5566444,62500,1,1,1,50-75,1,1
5573646,87500,3,2,1,75-100,3,2
5579242,62500,2,2,1,50-75,2,2
5580141,62500,3,3,1,50-75,3,3-4
5580242,62500,7,4,1,50-75,>=6,3-4
5580545,62500,6,4,1,50-75,>=6,3-4
5587343,112500,2,2,1,100-150,2,2
5588242,112500,4,4,1,100-150,4-5,3-4
5589167,62500,8,6,0,50-75,>=6,5-6
5592242,112500,2,2,1,100-150,2,2
5592545,45000,1,1,1,25-50,1,1
5594343,35000,1,1,1,25-50,1,1
5595242,87500,4,3,1,75-100,4-5,3-4
5597141,62500,2,2,1,50-75,2,2
5600848,62500,1,1,1,50-75,1,1
5603141,10000,1,1,1,<25,1,1
5603242,62500,3,2,1,50-75,3,2
5609444,25000,2,1,1,25-50,2,1
5610242,45000,5,5,1,25-50,4-5,5-6
5610747,112500,2,2,1,100-150,2,2
5612646,62500,5,5,1,50-75,4-5,5-6
5613646,35000,1,1,1,25-50,1,1
5614848,62500,2,2,1,50-75,2,2
5616444,62500,4,3,1,50-75,4-5,3-4
5626343,87500,4,3,1,75-100,4-5,3-4
5632242,87500,4,4,1,75-100,4-5,3-4
5635141,87500,6,5,1,75-100,>=6,5-6
5638444,62500,6,5,1,50-75,>=6,5-6
5638848,87500,4,3,1,75-100,4-5,3-4
5639444,87500,2,2,1,75-100,2,2
5642545,112500,4,2,1,100-150,4-5,2
5644747,10000,4,4,1,<25,4-5,3-4
5644848,62500,1,1,1,50-75,1,1
5646545,45000,4,2,1,25-50,4-5,2
5647242,35000,2,2,1,25-50,2,2
5647848,10000,4,4,1,<25,4-5,3-4
5649141,25000,5,5,1,25-50,4-5,5-6
5653646,17500,1,1,1,<25,1,1
5656646,35000,3,2,1,25-50,3,2
5660747,45000,4,3,1,25-50,4-5,3-4
5662646,62500,1,1,1,50-75,1,1
5666646,87500,3,3,1,75-100,3,3-4
5668343,62500,4,4,1,50-75,4-5,3-4
5673242,62500,2,2,1,50-75,2,2
5673747,112500,4,3,1,100-150,4-5,3-4
5674141,62500,7,5,1,50-75,>=6,5-6
5675141,112500,2,2,1,100-150,2,2
5677242,62500,4,4,1,50-75,4-5,3-4
5677646,62500,5,3,1,50-75,4-5,3-4
5678644,150000,3,3,0,>150,3,3-4
5682141,25000,2,2,1,25-50,2,2
5684343,87500,7,4,1,75-100,>=6,3-4
5686444,87500,3,3,1,75-100,3,3-4
5688444,10000,2,2,1,<25,2,2
5689242,62500,2,1,1,50-75,2,1
5693545,87500,4,4,1,75-100,4-5,3-4
5693798,62500,2,2,0,50-75,2,2
5695444,62500,3,2,1,50-75,3,2
5696242,87500,3,3,1,75-100,3,3-4
5701141,62500,2,2,1,50-75,2,2
5701444,35000,2,2,1,25-50,2,2
5702343,10000,2,1,1,<25,2,1
5702684,35000,4,4,0,25-50,4-5,3-4
5704141,35000,3,3,1,25-50,3,3-4
5704444,87500,2,2,1,75-100,2,2
5705545,87500,4,3,1,75-100,4-5,3-4
5705747,17500,2,2,1,<25,2,2
5707646,25000,4,4,1,25-50,4-5,3-4
5708242,87500,5,5,1,75-100,4-5,5-6
5708444,45000,3,3,1,25-50,3,3-4
5710141,62500,5,5,1,50-75,4-5,5-6
5710747,45000,2,2,1,25-50,2,2
5712444,62500,3,3,1,50-75,3,3-4
5714242,112500,3,3,1,100-150,3,3-4
5715141,62500,6,2,1,50-75,>=6,2
5715545,35000,2,2,1,25-50,2,2
5716343,17500,6,5,1,<25,>=6,5-6
5716444,35000,3,3,1,25-50,3,3-4
5717444,62500,1,1,1,50-75,1,1
5718242,62500,5,5,1,50-75,4-5,5-6
5719848,87500,3,3,1,75-100,3,3-4
5722941,10000,6,6,0,<25,>=6,5-6
5723646,62500,5,5,1,50-75,4-5,5-6
5723747,87500,3,3,1,75-100,3,3-4
5724646,62500,3,3,1,50-75,3,3-4
5724747,35000,4,4,1,25-50,4-5,3-4
5728141,62500,2,2,1,50-75,2,2
5728343,35000,2,2,1,25-50,2,2
